10210144-001,春,Ｅｎｇｌｉｓｈ　Ｓｋｉｌｌｓ（４）,23,95.7,0.0,4.3,0.0,0.0,0.0,3.9
10210144-002,秋,Ｅｎｇｌｉｓｈ　Ｓｋｉｌｌｓ（４）,18,88.9,0.0,0.0,0.0,11.1,0.0,3.6
10210145-000,秋,Ｅｎｇｌｉｓｈ　Ｓｋｉｌｌｓ（５）,5,0,0,0,0,0,,
10210147-000,春,Ｅｎｇｌｉｓｈ　Ｓｋｉｌｌｓ（７）,16,25.0,31.3,18.8,18.8,6.3,0.0,2.5
10210148-000,秋,Ｅｎｇｌｉｓｈ　Ｓｋｉｌｌｓ（８）,18,16.7,44.4,27.8,0.0,11.1,0.0,2.6
10210149-000,秋,Ｅｎｇｌｉｓｈ　Ｓｋｉｌｌｓ（９）,5,0,0,0,0,0,,
10210221-000,春,Ｍｅｄｉａ　ｉｎ　Ｅｎｇ．Ｂ（１）,21,42.9,47.6,9.5,0.0,0.0,0.0,3.3
10210222-001,春,Ｍｅｄｉａ　ｉｎ　Ｅｎｇ．Ｂ（２）,22,40.9,54.5,4.5,0.0,0.0,0.0,3.4
10210222-002,秋,Ｍｅｄｉａ　ｉｎ　Ｅｎｇ．Ｂ（２）,21,14.3,76.2,4.8,0.0,4.8,0.0,3.0
10210223-001,春,Ｍｅｄｉａ　ｉｎ　Ｅｎｇ．Ｂ（３）,24,45.8,29.2,20.8,0.0,4.2,0.0,3.1
10210223-002,秋,Ｍｅｄｉａ　ｉｎ　Ｅｎｇ．Ｂ（３）,24,45.8,45.8,4.2,0.0,4.2,0.0,3.3
10210225-000,春,Ｍｅｄｉａ　ｉｎ　Ｅｎｇ．Ｂ（５）,21,28.6,19.0,9.5,9.5,33.3,0.0,2.0
10210226-000,秋,Ｍｅｄｉａ　ｉｎ　Ｅｎｇ．Ｂ（６）,23,17.4,39.1,13.0,4.3,26.1,0.0,2.2
10210241-001,春,Ｓｏｃｉｏｃｕｌ．Ｅｎｇ．Ｂ（１）,22,31.8,13.6,27.3,22.7,4.5,0.0,2.5
10210241-002,秋,Ｓｏｃｉｏｃｕｌ．Ｅｎｇ．Ｂ（１）,3,0,0,0,0,0,,
10210242-001,春,Ｓｏｃｉｏｃｕｌ．Ｅｎｇ．Ｂ（２）,23,26.1,65.2,8.7,0.0,0.0,0.0,3.2
10210242-002,秋,Ｓｏｃｉｏｃｕｌ．Ｅｎｇ．Ｂ（２）,22,40.9,50.0,0.0,0.0,9.1,0.0,3.1
10210245-000,春,Ｓｏｃｉｏｃｕｌ．Ｅｎｇ．Ｂ（５）,19,15.8,42.1,26.3,0.0,15.8,0.0,2.4
10210246-000,秋,Ｓｏｃｉｏｃｕｌ．Ｅｎｇ．Ｂ（６）,18,33.3,22.2,33.3,11.1,0.0,0.0,2.8
10210247-000,春,Ｓｏｃｉｏｃｕｌ．Ｅｎｇ．Ｂ（７）,23,73.9,21.7,4.3,0.0,0.0,0.0,3.7
10210248-000,秋,Ｓｏｃｉｏｃｕｌ．Ｅｎｇ．Ｂ（８）,8,0,0,0,0,0,,
10210249-001,春,Ｓｏｃｉｏｃｕｌ．Ｅｎｇ．Ｂ（９）,23,34.8,52.2,0.0,0.0,13.0,0.0,3.0
10210249-002,秋,Ｓｏｃｉｏｃｕｌ．Ｅｎｇ．Ｂ（９）,22,40.9,59.1,0.0,0.0,0.0,0.0,3.4
10210250-001,春,Ｓｏｃｉｏｃｕｌ．Ｅｎｇ．Ｂ（１０）,17,5.9,23.5,47.1,5.9,17.6,0.0,1.9
10210250-002,春,Ｓｏｃｉｏｃｕｌ．Ｅｎｇ．Ｂ（１０）,14,14.3,35.7,35.7,14.3,0.0,0.0,2.5
10210251-001,秋,Ｓｏｃｉｏｃｕｌ．Ｅｎｇ．Ｂ（１１）,8,0,0,0,0,0,,
10210251-002,秋,Ｓｏｃｉｏｃｕｌ．Ｅｎｇ．Ｂ（１１）,9,0,0,0,0,0,,
10210261-000,秋,英米文学特論Ａ（１）,214,21.5,43.9,13.1,6.5,15.0,0.0,2.5
10210262-000,春,英米文学特論Ａ（２）,135,26.7,23.7,17.0,16.3,16.3,0.0,2.3
10210263-000,春,英米文学特論Ａ（３）,140,31.4,30.0,7.1,9.3,22.1,0.0,2.4
10210264-000,秋,英米文学特論Ａ（４）,137,19.7,21.9,21.2,22.6,14.6,0.0,2.1
10210265-000,秋,英米文学特論Ａ（５）,139,40.3,23.0,14.4,5.0,17.3,0.0,2.6
10210271-000,春,英米文学特論Ａ（１１）,248,19.0,21.8,10.5,10.5,38.3,0.0,1.7
10210274-000,秋,英米文学特論Ａ（１４）,47,57.4,19.1,12.8,0.0,10.6,0.0,3.1
10210281-000,春,英語文化特論Ａ（１）,126,50.8,19.0,10.3,7.9,11.9,0.0,2.9
10210282-000,春,英語文化特論Ａ（２）,69,18.8,27.5,21.7,10.1,21.7,0.0,2.1
10210283-000,秋,英語文化特論Ａ（３）,79,29.1,30.4,12.7,10.1,17.7,0.0,2.4
10210284-000,春,英語文化特論Ａ（４）,60,36.7,30.0,11.7,3.3,18.3,0.0,2.6
10210285-000,秋,英語文化特論Ａ（５）,133,39.1,20.3,21.8,7.5,11.3,0.0,2.7
10210288-000,秋,英語文化特論Ａ（８）,93,17.2,10.8,19.4,9.7,43.0,0.0,1.5
10210295-000,秋,英語学特論（５）,9,0,0,0,0,0,,
10210296-000,秋,英語学特論（６）,8,0,0,0,0,0,,
10210311-000,春,英語圏文学Ａ（１）,71,29.6,35.2,14.1,8.5,12.7,0.0,2.6
10210318-000,秋,英語教育基礎論（３）,26,26.9,23.1,23.1,7.7,19.2,0.0,2.3
10210353-000,春,英米文学入門,276,20.7,25.4,21.0,18.1,14.9,0.0,2.2
10210354-000,春,英米文化入門,191,15.7,24.1,22.5,17.8,19.9,0.0,2.0
10210355-000,春,英語学入門,120,30.8,35.0,13.3,4.2,16.7,0.0,2.6
10210356-000,春,英語教育学入門,156,12.2,23.1,28.8,21.8,14.1,0.0,2.0
10210357-000,秋,日英語対照研究（１）,57,14.0,22.8,29.8,15.8,17.5,0.0,2.0
